votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,total_area,pop_density,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_young,age_adult,age_old,ethnic_male,ethnic_female
8231,0.076,-1.288668545879023,-1.1033906200118901,0.263,0.05969479354,0.07690335811,-0.25421102075684554,-0.20808727248343628,-0.12532799049049725,0.950281179,0.029642088,0.002943186,0.000735796,0.006044043,0.00432595785,0,Adair County,KY,Uneducated,NON-CATHOLIC CHRISTIAN,0.324328585,0.364744836,0.248646661,BLACK MALE RATE,BLACK FEMALE RATE
5842,0.07400000000000001,-1.1220721232925706,-1.447181395346701,0.233,0.07068045138,0.1181327406,-0.2594386110829029,-0.12359158989134872,-0.1385467657176781,0.918915691,0.063231431,0.003582517,0.000298543,0.00561261,0.00348817769,0,Wayne County,TN,Uneducated,MAINLINE CHRISTIAN,0.256149988,0.41909481600000004,0.258717458,BLACK MALE RATE,BLACK FEMALE RATE
25571,0.106,0.7066026532668102,1.6336049199495326,0.11900000000000001,0.040702706959999994,0.059196155529999996,-0.14934587854643072,-0.13425386024844463,-0.08828063360379304,0.826717113,0.136301901,0.003861079,0.000407451,0.009138533,0.00496138921,0,Worcester County,MD,Educated,MAINLINE CHRISTIAN,0.243053939,0.33620489,0.335778037,BLACK MALE RATE,BLACK FEMALE RATE
36536,0.040999999999999995,0.7154492126795895,0.637313285305795,0.11699999999999999,0.04451819336,0.0627053359,-0.0698609271667456,-0.09282287589934678,-0.09987605046974114,0.948201494,0.022202995,0.005662082,0.000916112,0.007481582,0.00464876007,0,Rockingham County,VA,Uneducated,OTHER CHRISTIAN,0.309760411,0.36649574399999996,0.26349674900000003,BLACK MALE RATE,BLACK FEMALE RATE
734,0.038,-0.41385130151810384,-0.32723032365651356,0.16699999999999998,0.06578947368,0.1517615176,-0.30862591969211756,-0.08022106040742244,-0.15095386176424255,0.940199336,0.03255814,0.00730897,0.0,0.008637874,0.00487707641,0,Briscoe County,TX,Educated,MAINLINE CHRISTIAN,0.279069766,0.354152824,0.30764119500000003,BLACK MALE RATE,BLACK FEMALE RATE
4650,0.079,-1.0083897009320884,-1.303525964224655,0.285,0.09586419238999999,0.1286750668,-0.27269143181776995,-0.2095641498435145,-0.13361871354965016,0.91125362,0.068680182,0.004620052,0.000206868,0.006137085,0.0032064542800000003,0,Bledsoe County,TN,Uneducated,PENTECOSTAL / CHARISMATIC,0.235071025,0.439525582,0.255482003,BLACK MALE RATE,BLACK FEMALE RATE
42737,0.043,2.379594519786345,2.7884612795436117,0.079,0.04195905585,0.04332425068,-0.09961183113247248,-0.2690339495234088,0.1207267554049216,0.804981749,0.13550795,0.003745882,0.000902293,0.014122247,0.0058426182900000005,0,James City County,VA,Educated,MAINLINE CHRISTIAN,0.270810834,0.34783381499999994,0.30230904900000005,BLACK MALE RATE,BLACK FEMALE RATE
24261,0.063,-0.24775094768377,-0.07991144956361391,0.165,0.07019798211,0.11707244879999999,-0.10757311548224786,0.0652160713401772,-0.12550192174348648,0.964104596,0.013502377,0.002820919,0.000253566,0.006782884,0.0038448494500000004,0,Herkimer County,NY,Educated,MAINLINE CHRISTIAN,0.296434232,0.359144216,0.280507132,BLACK MALE RATE,BLACK FEMALE RATE
180750,0.048,0.3332282391723096,0.32176246651634366,0.147,0.06125179303,0.07966625186,1.2795639809083745,-0.052108111721331146,0.13765606402920585,0.808080551,0.095497426,0.013612889,0.001071204,0.017686591,0.00353321318,0,Sedgwick County,KS,Educated,MAINLINE CHRISTIAN,0.361613374,0.385838608,0.210642058,BLACK MALE RATE,BLACK FEMALE RATE
249560,0.05,-0.3431615043412221,0.19441955687702087,0.19699999999999998,0.0858047775,0.1398955054,1.3971863618961402,-0.1945130704818675,0.5202468435211637,0.738267908,0.211534632,0.002478122,0.000529818,0.01206182,0.0046887036,0,Montgomery County,OH,Educated,NON-CATHOLIC CHRISTIAN,0.31652694699999995,0.378047864,0.25018693899999994,BLACK MALE RATE,BLACK FEMALE RATE
